,,,+0.625-61.875 To Mana (Based On Character Level)
,,,All Resistances +5-20 (varies)
,,,12-25% Better Chance of Getting Magic Items (varies)
Dream,3 Socket Shields,Io + Jah + Pul,10% Chance To Cast Level 15 Confuse When Struck
,,,Level 15 Holy Shock Aura When Equipped
,,,+20-30% Faster Hit Recovery (varies)
,,,+30% Enhanced Defense
,,,+150-220 Defense (varies)
,,,+10 To Vitality
,,,+50 To Life
,,,+0.625-61.875 To Mana (Based On Character Level)
,,,All Resistances +5-20 (varies)
,,,12-25% Better Chance of Getting Magic Items (varies)
Edge,3 Socket Missile Weapons,Tir + Tal + Amn,Level 15 Thorns Aura When Equipped
,,,+35% Increased Attack Speed
,,,+320-380% Damage To Demons (varies)
,,,+280% Damage To Undead
,,,+75 Poison Damage Over 5 Seconds
,,,7% Life Stolen Per Hit
,,,Prevent Monster Heal
,,,+5-10 To All Attributes (varies)
,,,+2 To Mana After Each Kill
,,,Reduces All Vendor Prices 15%!!!*
Faith,4 Socket Missile Weapons,Ohm + Jah + Lem + Eld,Level 12-15 Fanaticism Aura When Equipped (varies)
,,,+1-2 To All Skills (varies)
,,,+330% Enhanced Damage
,,,Ignore Target's Defense
,,,300% Bonus To Attack Rating
,,,+75% Damage To Undead
,,,+50 To Attack Rating Against Undead
,,,+120 Fire Damage
,,,All Resistances +15
,,,10% Reanimate As: Returned
,,,75% Extra Gold From Monsters
Fortitude,4 Socket Weapons,El + Sol + Dol + Lo,20% Chance To Cast Level 15 Chilling Armor when Struck
,,,+25% Faster Cast Rate
,,,+300% Enhanced Damage
,,,+9 To Minimum Damage
,,,+50 To Attack Rating
,,,20% Deadly Strike
,,,Hit Causes Monster To Flee 25%
,,,+200% Enhanced Defense
,,,+X To Life (Based on Character Level)*
,,,All Resistances +25-30 (varies)
,,,12% Damage Taken Goes To Mana
,,,+1 To Light Radius
Fortitude,4 Socket Body Armor,El + Sol + Dol + Lo,20% Chance To Cast Level 15 Chilling Armor when Struck
,,,+25% Faster Cast Rate
,,,+300% Enhanced Damage
,,,+200% Enhanced Defense
,,,+15 Defense
,,,+X To Life (Based on Character Level)*
,,,Replenish Life +7
,,,+5% To Maximum Lightning Resist
,,,All Resistances +25-30 (varies)
,,,Damage Reduced By 7
,,,12% Damage Taken Goes To Mana
,,,+1 To Light Radius
Grief,5 Socket Swords/Axes,Eth + Tir + Lo + Mal + Ral,35% Chance To Cast Level 15 Venom On Striking
,,,+30-40% Increased Attack Speed (varies)
,,,Damage +340-400 (varies)
,,,Ignore Target's Defense
,,,-25% Target Defense
,,,+(1.875 per character level) 1.875-185.625% Damage To Demons (Based on Character Level)
,,,Adds 5-30 Fire Damage
,,,-20-25% To Enemy Poison Resistance (varies)
,,,20% Deadly Strike
,,,Prevent Monster Heal
,,,+2 To Mana After Each Kill
,,,+10-15 Life After Each Kill (varies)
Harmony,4 Socket Missile Weapons,Tir + Ith + Sol + Ko,Level 10 Vigor Aura When Equipped
,,,+200-275% Enhanced Damage (varies)
,,,+9 To Minimum Damage
,,,+9 To Maximum Damage
,,,Adds 55-160 Lightning Damage
,,,Adds 55-160 Fire Damage
,,,Adds 55-160 Cold Damage
,,,+2-6 To Valkyrie (varies)
,,,+10 To Dexterity
,,,Regenerate Mana 20%
,,,+2 To Mana After Each Kill
,,,+2 To Light Radius
,,,Level 20 Revive (25 Charges)
Ice,4 Socket Missile Weapons,Amn + Shael + Jah + Lo,100% Chance To Cast Level 40 Blizzard When You Level-up
,,,25% Chance To Cast Level 22 Frost Nova On Striking
,,,Level 18 Holy Freeze Aura When Equipped
,,,+20% Increased Attack Speed
,,,+140-210% Enhanced Damage (varies)
,,,Ignore Target's Defense
,,,+25-30% To Cold Skill Damage (varies)
,,,-20% To Enemy Cold Resistance
,,,7% Life Stolen Per Hit
,,,20% Deadly Strike
,,,3.125-309.375 Extra Gold From Monsters (Based on Character Level)
Infinity,4 Socket Polearms,Ber + Mal + Ber + Ist,50% Chance To Cast Level 20 Chain Lightning When You Kill An Enemy
,,,Level 12 Conviction Aura When Equipped
,,,+35% Faster Run/Walk
,,,+255-325% Enhanced Damage (varies)
,,,-(45-55)% To Enemy Lightning Resistance (varies)
,,,40% Chance of Crushing Blow
,,,Prevent Monster Heal
,,,0.5-49.5 To Vitality (Based on Character Level)
,,,30% Better Chance of Getting Magic Items
,,,Level 21 Cyclone Armor (30 Charges)
Insight,4 Socket Polearms/Staves,Ral + Tir + Tal + Sol,Level 12-17 Meditation Aura When Equipped (varies)
,,,+35% Faster Cast Rate
,,,+200-260% Enhanced Damage (varies)
,,,+9 To Minimum Damage
,,,180-250% Bonus to Attack Rating (varies)
,,,Adds 5-30 Fire Damage
,,,+75 Poison Damage Over 5 Seconds
,,,+1-6 To Critical Strike (varies)
,,,+5 To All Attributes
,,,+2 To Mana After Each Kill
,,,23% Better Chance of Getting Magic Items
Last Wish,6 Socket Swords/Hammers/Axes,Jah + Mal + Jah + Sur + Jah + Ber,6% Chance To Cast Level 11 Fade When Struck
,,,10% Chance To Cast Level 18 Life Tap On Striking
,,,20% Chance To Cast Level 20 Charged Bolt On Attack
,,,Level 17 Might Aura When Equipped
,,,+330-375% Enhanced Damage (varies)
,,,Ignore Target's Defense
,,,60-70% Chance of Crushing Blow (varies)
,,,Prevent Monster Heal
,,,Hit Blinds Target
,,,+(0.5 per character level) 0.5-49.5% Chance of Getting Magic Items (Based on Character Level)
Lawbringer,3 Socket Swords/Hammers/Scepters,Amn + Lem + Ko,20% Chance To Cast Level 15 Decrepify On Striking
,,,Level 16-18 Sanctuary Aura When Equipped (varies)
,,,-50% Target Defense
,,,Adds 150-210 Fire Damage
,,,Adds 130-180 Cold Damage
,,,7% Life Stolen Per Hit
,,,Slain Monsters Rest In Peace
,,,+200-250 Defense Vs. Missile (varies)
,,,+10 To Dexterity
,,,75% Extra Gold From Monsters
Oath,4 Socket Swords/Axes/Maces,Shael + Pul + Mal + Lum,30% Chance To Cast Level 20 Bone Spirit On Striking
,,,Indestructible
,,,+50% Increased Attack Speed
,,,+210-340% Enhanced Damage (varies)
,,,+75% Damage To Demons
,,,+100 To Attack Rating Against Demons
,,,Prevent Monster Heal
,,,+10 To Energy
,,,+10-15 Magic Absorb (varies)
,,,Level 16 Heart Of Wolverine (20 Charges)
,,,Level 17 Iron Golem (14 Charges)
Obedience,5 Socket Polearms,Hel + Ko + Thul + Eth + Fal,30% Chance To Cast Level 21 Enchant When You Kill An Enemy
,,,40% Faster Hit Recovery
,,,+370% Enhanced Damage
,,,-25% Target Defense
,,,Adds 3-14 Cold Damage 3 Second Duration (Normal)
,,,-25% To Enemy Fire Resistance
,,,40% Chance of Crushing Blow
,,,+200-300 Defense (varies)
,,,+10 To Strength
,,,+10 To Dexterity
,,,All Resistances +20-30 (varies)
,,,Requirements -20%
Phoenix,4 Socket Weapons,Vex + Vex + Lo + Jah,100% Chance To Cast level 40 Blaze When You Level-up
,,,40% Chance To Cast Level 22 Firestorm On Striking
,,,Level 10-15 Redemption Aura When Equipped (varies)
,,,+350-400% Enhanced Damage (varies)
,,,Ignores Target's Defense
,,,14% Mana Stolen Per Hit
,,,-28% To Enemy Fire Resistance
,,,20% Deadly Strike
,,,+350-400 Defense Vs. Missile (varies)
,,,+15-21 Fire Absorb (varies)
Phoenix,4 Socket Shields,Vex + Vex + Lo + Jah,100% Chance To Cast level 40 Blaze When You Level-up
,,,40% Chance To Cast Level 22 Firestorm On Striking
,,,Level 10-15 Redemption Aura When Equipped (varies)
,,,+350-400 Defense Vs. Missile (varies)
,,,+350-400% Enhanced Damage (varies)
,,,-28% To Enemy Fire Resistance
,,,+50 To Life
,,,+5% To Maximum Lightning Resist
,,,+10% To Maximum Fire Resist
,,,+15-21 Fire Absorb (varies)
Pride,4 Socket Polearms,Cham + Sur + Io + Lo,25% Chance To Cast Level 17 Fire Wall When Struck
,,,Level 16-20 Concentration Aura When Equipped (varies)
,,,260-300% Bonus To Attack Rating (varies)
,,,+1-99% Damage To Demons (Based on Character Level)
,,,Adds 50-280 Lightning Damage
,,,20% Deadly Strike
,,,Hit Blinds Target
,,,Freezes Target +3
,,,+10 To Vitality
,,,Replenish Life +8
,,,1.875-185.625% Extra Gold From Monsters (Based on Character Level)
Rift,4 Socket Polearms/Scepters,Hel + Ko + Lem + Gul,20% Chance To Cast Level 16 Tornado On Striking
,,,16% Chance To Cast Level 21 Frozen Orb On Attack
,,,20% Bonus To Attack Rating
,,,Adds 160-250 Magic Damage
,,,Adds 60-180 Fire Damage
,,,+5-10 To All Stats (varies)
,,,+10 To Dexterity
,,,38% Damage Taken Goes To Mana
,,,75% Extra Gold From Monsters
,,,Level 15 Iron Maiden (40 Charges)
,,,Requirements -20%
Spirit,4 Socket Swords,Tal + Thul + Ort + Amn,+2 To All Skills
,,,+25-35% Faster Cast Rate (varies)
,,,+55% Faster Hit Recovery
,,,Adds 1-50 Lightning Damage
,,,Adds 3-14 Cold Damage 3 Second Duration (Normal)
,,,+75 Poison Damage Over 5 Seconds
,,,7% Life Stolen Per Hit
,,,+250 Defense Vs. Missile
,,,+22 To Vitality
,,,+89-112 To Mana (varies)
,,,+3-8 Magic Absorb (varies)
Spirit,4 Socket Shields,Tal + Thul + Ort + Amn,+2 To All Skills
,,,+25-35% Faster Cast Rate (varies)
,,,+55% Faster Hit Recovery
,,,+250 Defense Vs. Missile
,,,+22 To Vitality
,,,+89-112 To Mana (varies)
,,,Cold Resist +35%
,,,Lightning Resist +35%
,,,Poison Resist +35%
,,,+3-8 Magic Absorb (varies)
,,,Attacker Takes Damage of 14
Voice of Reason,4 Socket Swords/Maces,Lem + Ko + El + Eld,15% Chance To Cast Level 13 Frozen Orb On Striking
,,,18% Chance To Cast Level 20 Ice Blast On Striking
,,,+50 To Attack Rating
,,,+220-350% Damage To Demons
,,,+355-375% Damage To Undead (varies)
,,,+50 To Attack Rating Against Undead
,,,Adds 100-220 Cold Damage
,,,-24% To Enemy Cold Resistance
,,,+10 To Dexterity
,,,Cannot Be Frozen
,,,75% Extra Gold From Monsters
,,,+1 To Light Radius
Wrath,4 Socket Missile Weapons,Pul + Lum + Ber + Mal,30% Chance To Cast Level 1 Decrepify On Striking
,,,5% Chance To Cast Level 10 Life Tap On Striking
,,,+375% Damage To Demons
,,,+100 To Attack Rating Against Demons
,,,+250-300% Damage To Undead (varies)
,,,Adds 85-120 Magic Damage
,,,Adds 41-240 Lightning Damage
,,,20% Chance of Crushing Blow
,,,Prevent Monster Heal
,,,+10 To Energy
,,,Cannot Be Frozen
